Name,District-ID,District,Cordenate-X,Cordenate-Y,latitude,longitude,Type
Universidad Politécnica de Madrid. Escuela Técnica Superior de Ingenieros de Telecomunicación,9.0,moncloa-aravaca,438347.0,4478292.0,4045299571351180,-37271090498334704,University
"Universidad Politécnica de Madrid. Escuela Técnica Superior de Ingenieros en Topografía, Geodesia y Cartografía",13.0,puente de vallecas,446954.0,4470889.0,40385027135121800,-36262590221140496,University
Universidad Politécnica de Madrid. Escuela Técnica Superior de Ingenieros Industriales,5.0,chamartin,441469.0,4476872.0,4044043851541710,-36901501583800496,University
Universidad Politécnica de Madrid. Escuela Técnica Superior de Ingenieros Navales,9.0,moncloa-aravaca,438559.0,4476714.0,4043880526313060,-37244447026654000,University
Universidad Politécnica de Madrid. Facultad de Ciencias de la Actividad Física y del Deporte (INEF),9.0,moncloa-aravaca,437870.0,4476654.0,4043821356803680,-37325621396065904,University
Universidad Pontificia Comillas. Escuela Técnica Superior de Ingeniería,1.0,centro,439547.0,4475743.0,40430121484779400,-37127036955459504,University
Universidad Pontificia Comillas. Facultad de Ciencias Humanas y Sociales,8.0,fuencarral-el pardo,442188.0,4489264.0,40552125920224704,-3682802161256000,University
Universidad Pontificia Comillas. Facultad de Derecho Canónico,1.0,centro,439748.0,4475714.0,40429883831913600,-37103315481798400,University
Universidad Pontificia Comillas. Facultad de Teología,8.0,fuencarral-el pardo,442188.0,4489264.0,40552125920224704,-3682802161256000,University
Universidad Pontificia de Comillas. Facultad de Ciencias Económicas y Empresariales,1.0,centro,439669.0,4475725.0,4042996811780780,-3711275575912570,University
Universidad Pontificia de Comillas. Facultad de Derecho,1.0,centro,439669.0,4475725.0,4042996811780780,-3711275575912570,University
Universidad Pontificia de Salamanca. Facultad de Enfermería y Fisioterapia,7.0,chamberi,439303.0,4475960.0,404320681305,-37155984461035696,University
